NAMELSAD,std_dev_all,std_dev_2,std_dev_3,std_dev_4,std_dev_5,std_dev_6,std_dev_7,std_dev_8,std_dev_9,std_dev_10,std_dev_11,std_dev_12,std_dev_13,std_dev_14,std_dev_15,avg_std_dev_2_to_4
"Abilene, TX Metro Area",,,,,,,,,,,,,,,,
"Akron, OH Metro Area",0.616,1.2961,0.616,,,,,,,,,,,,,
"Albany, GA Metro Area",,,,,,,,,,,,,,,,
"Albany-Lebanon, OR Metro Area",,,,,,,,,,,,,,,,
"Albany-Schenectady-Troy, NY Metro Area",0.6344,0.9219,0.6071,0.6204,0.6344,,,,,,,,,,,0.7277
"Albuquerque, NM Metro Area",0.4215,0.6796,0.4215,,,,,,,,,,,,,
"Alexandria, LA Metro Area",,,,,,,,,,,,,,,,
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",,,,,,,,,,,,,,,,
"Altoona, PA Metro Area",0.1385,0.1385,,,,,,,,,,,,,,
"Amarillo, TX Metro Area",,,,,,,,,,,,,,,,
"Ames, IA Metro Area",,,,,,,,,,,,,,,,
"Ann Arbor, MI Metro Area",,,,,,,,,,,,,,,,
"Anniston-Oxford, AL Metro Area",,,,,,,,,,,,,,,,
"Appleton, WI Metro Area",,,,,,,,,,,,,,,,
"Asheville, NC Metro Area",,,,,,,,,,,,,,,,
"Athens-Clarke County, GA Metro Area",,,,,,,,,,,,,,,,
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",0.5607,0.1135,0.2478,0.4194,0.5607,,,,,,,,,,,0.2512
"Atlantic City-Hammonton, NJ Metro Area",,,,,,,,,,,,,,,,
"Auburn-Opelika, AL Metro Area",0.8103,0.8103,,,,,,,,,,,,,,
"Augusta-Richmond County, GA-SC Metro Area",,,,,,,,,,,,,,,,
"Austin-Round Rock-Georgetown, TX Metro Area",0.5964,1.4932,1.6758,0.8698,0.6649,0.5964,,,,,,,,,,1.3589
"Bakersfield, CA Metro Area",0.4704,1.5174,0.4704,,,,,,,,,,,,,
"Baltimore-Columbia-Towson, MD Metro Area",0.5147,0.0741,0.1984,0.3704,0.5147,,,,,,,,,,,0.2057
"Bangor, ME Metro Area",,,,,,,,,,,,,,,,
"Barnstable Town, MA Metro Area",,,,,,,,,,,,,,,,
"Baton Rouge, LA Metro Area",1.4485,1.4485,,,,,,,,,,,,,,
