NAMELSAD,std_dev_all,std_dev_2,std_dev_3,std_dev_4,std_dev_5,std_dev_6,std_dev_7,std_dev_8,std_dev_9,std_dev_10,std_dev_11,std_dev_12,std_dev_13,std_dev_14,std_dev_15,avg_std_dev_2_to_4
"Abilene, TX Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Akron, OH Metro Area",0.077673690563966,0.9931634712411705,0.11751403431034069,0.06324374659357801,0.077673690563966,,,,,,,,,,,0.39130708404836306
"Albany, GA Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Albany-Lebanon, OR Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Albany-Schenectady-Troy, NY Metro Area",0.21274461719737325,0.9695992111009368,0.647462657920554,0.2697978739079281,0.19390061119186852,0.18241199713813494,0.18483679567226619,0.19730046736914786,0.21274461719737325,,,,,,,0.6289532476431396
"Albuquerque, NM Metro Area",0.22342459450501673,0.237844264109895,0.22342459450501673,,,,,,,,,,,,,0.0
"Alexandria, LA Metro Area",0.25752889880348817,0.25752889880348817,,,,,,,,,,,,,,0.0
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0.02118449306084369,0.02118449306084369,,,,,,,,,,,,,,0.0
"Altoona, PA Metro Area",0.0692589754816112,0.0692589754816112,,,,,,,,,,,,,,0.0
"Amarillo, TX Metro Area",0.08066575397252684,0.08066575397252684,,,,,,,,,,,,,,0.0
"Ames, IA Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Ann Arbor, MI Metro Area",0.22983073738090143,0.060409378260602664,0.10425078490957473,0.1720553355740264,0.22983073738090154,,,,,,,,,,,0.11223849958140127
"Anniston-Oxford, AL Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Appleton, WI Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Asheville, NC Metro Area",0.10032272925938646,0.06862213267203965,0.10032272925938646,,,,,,,,,,,,,0.0
"Athens-Clarke County, GA Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",0.435058100768412,0.3028848663847433,0.26813657624605736,0.29804752473923524,0.30240608668923197,0.3230869709873343,0.3477758430855624,0.371913192904182,0.3946760344918028,0.4159117852606449,0.435058100768412,,,,,0.289689655790012
"Atlantic City-Hammonton, NJ Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Auburn-Opelika, AL Metro Area",0.40515088820717704,0.40515088820717704,,,,,,,,,,,,,,0.0
"Augusta-Richmond County, GA-SC Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Austin-Round Rock-Georgetown, TX Metro Area",0.26627955087642663,0.020393709237024438,0.07613379190058711,0.15026026679276683,0.2137591058778926,0.26627955087642663,,,,,,,,,,0.08226258931012613
"Bakersfield, CA Metro Area",0.150602732550143,0.024026285913893997,0.07867281988490549,0.150602732550143,,,,,,,,,,,,0.08443394611631416
"Baltimore-Columbia-Towson, MD Metro Area",0.4615378868803558,0.16419056914095687,0.1912513173649617,0.2164887435416204,0.25761625844858094,0.29786098422568774,0.33422999798988096,0.3663519562353027,0.3947183527277308,0.41967252230151175,0.44172747887981356,0.4615378868803558,,,,0.19064354334917966
"Bangor, ME Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Barnstable Town, MA Metro Area",0.22555022339897401,0.22555022339897401,,,,,,,,,,,,,,0.0
"Baton Rouge, LA Metro Area",0.08297524834292536,0.032532540089994844,0.08297524834292536,,,,,,,,,,,,,0.0
"Battle Creek, MI Metro Area",0.06222074024674895,0.06222074024674895,,,,,,,,,,,,,,0.0
"Bay City, MI Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Beaumont-Port Arthur, TX Metro Area",0.22425565302590278,0.8594118814939005,0.5862896329609449,0.3065383189740061,0.2458031595278104,0.22425565302590278,,,,,,,,,,0.5840799444762839
"Beckley, WV Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Bellingham, WA Metro Area",0.06836429701693725,0.06836429701693725,,,,,,,,,,,,,,0.0
"Bend, OR Metro Area",0.0,,,,,,,,,,,,,,,0.0
"Billings, MT Metro Area",0.10227818188531557,0.10227818188531557,,,,,,,,,,,,,,0.0
"Binghamton, NY Metro Area",0.1937620397541432,0.20787174637485362,0.1937620397541432,,,,,,,,,,,,,0.0
"Birmingham-Hoover, AL Metro Area",0.16445074301246398,0.16445074301246398,,,,,,,,,,,,,,0.0
"Bismarck, ND Metro Area",0.0,,,,,,,,,,,,,,,0.0
