NAMELSAD,std_dev_all,std_dev_2,std_dev_3,std_dev_4,std_dev_5,std_dev_6,std_dev_7,std_dev_8,std_dev_9,std_dev_10,std_dev_11,std_dev_12,std_dev_13,std_dev_14,std_dev_15,avg_std_dev_2_to_4
"Abilene, TX Metro Area",,,,,,,,,,,,,,,,
"Akron, OH Metro Area",0.1851,1.9863,0.2711,0.1512,0.1851,,,,,,,,,,,0.8686
"Albany, GA Metro Area",,,,,,,,,,,,,,,,
"Albany-Lebanon, OR Metro Area",,,,,,,,,,,,,,,,
"Albany-Schenectady-Troy, NY Metro Area",0.4602,1.9392,1.4938,0.6452,0.462,0.4263,0.4213,0.438,0.4602,,,,,,,1.3961
"Albuquerque, NM Metro Area",0.5155,0.4757,0.5155,,,,,,,,,,,,,
"Alexandria, LA Metro Area",0.5151,0.5151,,,,,,,,,,,,,,
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0.0424,0.0424,,,,,,,,,,,,,,
"Altoona, PA Metro Area",0.1385,0.1385,,,,,,,,,,,,,,
"Amarillo, TX Metro Area",0.1613,0.1613,,,,,,,,,,,,,,
"Ames, IA Metro Area",,,,,,,,,,,,,,,,
"Ann Arbor, MI Metro Area",0.5476,0.1208,0.2405,0.4115,0.5476,,,,,,,,,,,0.2491
"Anniston-Oxford, AL Metro Area",,,,,,,,,,,,,,,,
"Appleton, WI Metro Area",,,,,,,,,,,,,,,,
"Asheville, NC Metro Area",0.2315,0.1372,0.2315,,,,,,,,,,,,,
"Athens-Clarke County, GA Metro Area",,,,,,,,,,,,,,,,
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",0.8968,0.6058,0.6187,0.7128,0.7205,0.7551,0.7927,0.8257,0.8537,0.8776,0.8968,,,,,0.643
"Atlantic City-Hammonton, NJ Metro Area",,,,,,,,,,,,,,,,
"Auburn-Opelika, AL Metro Area",0.8103,0.8103,,,,,,,,,,,,,,
"Augusta-Richmond County, GA-SC Metro Area",,,,,,,,,,,,,,,,
"Austin-Round Rock-Georgetown, TX Metro Area",0.6223,0.0408,0.1757,0.3593,0.5093,0.6223,,,,,,,,,,0.1826
"Bakersfield, CA Metro Area",0.3602,0.0481,0.1815,0.3602,,,,,,,,,,,,0.1874
"Baltimore-Columbia-Towson, MD Metro Area",0.9308,0.3284,0.4413,0.5177,0.6138,0.6961,0.7619,0.8133,0.8538,0.8855,0.9105,0.9308,,,,0.4232
"Bangor, ME Metro Area",,,,,,,,,,,,,,,,
"Barnstable Town, MA Metro Area",0.4511,0.4511,,,,,,,,,,,,,,
"Baton Rouge, LA Metro Area",0.1914,0.0651,0.1914,,,,,,,,,,,,,
"Battle Creek, MI Metro Area",0.1244,0.1244,,,,,,,,,,,,,,
"Bay City, MI Metro Area",,,,,,,,,,,,,,,,
"Beaumont-Port Arthur, TX Metro Area",0.5241,1.7188,1.3527,0.7331,0.5856,0.5241,,,,,,,,,,1.2965
"Beckley, WV Metro Area",,,,,,,,,,,,,,,,
"Bellingham, WA Metro Area",0.1367,0.1367,,,,,,,,,,,,,,
"Bend, OR Metro Area",,,,,,,,,,,,,,,,
"Billings, MT Metro Area",0.2046,0.2046,,,,,,,,,,,,,,
"Binghamton, NY Metro Area",0.4471,0.4157,0.4471,,,,,,,,,,,,,
"Birmingham-Hoover, AL Metro Area",0.3289,0.3289,,,,,,,,,,,,,,
"Bismarck, ND Metro Area",,,,,,,,,,,,,,,,
"Blacksburg-Christiansburg, VA Metro Area",0.4437,0.3728,0.4437,,,,,,,,,,,,,
"Bloomington, IL Metro Area",,,,,,,,,,,,,,,,
"Bloomington, IN Metro Area",,,,,,,,,,,,,,,,
"Boise City, ID Metro Area",0.6974,0.6256,0.6734,0.6974,,,,,,,,,,,,0.6631
"Boston-Cambridge-Newton, MA-NH Metro Area",0.8649,0.2258,0.3462,0.5056,0.6296,0.7209,0.7834,0.8289,0.8649,,,,,,,0.351
"Boulder, CO Metro Area",0.5213,0.3887,0.4066,0.5213,,,,,,,,,,,,0.4355
"Bowling Green, KY Metro Area",,,,,,,,,,,,,,,,
"Bremerton-Silverdale-Port Orchard, WA Metro Area",0.5244,0.3219,0.4176,0.5244,,,,,,,,,,,,0.4152
"Bridgeport-Stamford-Norwalk, CT Metro Area",0.4477,1.2767,0.4477,,,,,,,,,,,,,
"Brownsville-Harlingen, TX Metro Area",0.8466,1.0182,1.0508,0.8466,,,,,,,,,,,,0.9755
"Brunswick, GA Metro Area",0.6602,0.6602,,,,,,,,,,,,,,
"Buffalo-Cheektowaga, NY Metro Area",0.5743,0.2563,0.3306,0.4543,0.5743,,,,,,,,,,,0.3414
"Burlington, NC Metro Area",,,,,,,,,,,,,,,,
"Burlington-South Burlington, VT Metro Area",0.4599,0.3717,0.4599,,,,,,,,,,,,,
"California-Lexington Park, MD Metro Area",,,,,,,,,,,,,,,,
"Canton-Massillon, OH Metro Area",0.3202,0.2652,0.3202,,,,,,,,,,,,,
"Cape Coral-Fort Myers, FL Metro Area",0.481,1.8524,1.5363,0.8104,0.574,0.481,,,,,,,,,,1.4287
"Cape Girardeau, MO-IL Metro Area",,,,,,,,,,,,,,,,
"Carson City, NV Metro Area",1.0009,1.2065,1.0009,,,,,,,,,,,,,
"Casper, WY Metro Area",,,,,,,,,,,,,,,,
"Cedar Rapids, IA Metro Area",,,,,,,,,,,,,,,,
"Chambersburg-Waynesboro, PA Metro Area",,,,,,,,,,,,,,,,
"Champaign-Urbana, IL Metro Area",,,,,,,,,,,,,,,,
"Charleston, WV Metro Area",0.199,0.199,,,,,,,,,,,,,,
"Charleston-North Charleston, SC Metro Area",0.6709,1.4865,0.7325,0.6709,,,,,,,,,,,,0.9924
"Charlotte-Concord-Gastonia, NC-SC Metro Area",0.8417,0.1639,0.3065,0.442,0.5675,0.6651,0.7397,0.7972,0.8417,,,,,,,0.2957
"Charlottesville, VA Metro Area",,,,,,,,,,,,,,,,
"Chattanooga, TN-GA Metro Area",0.5045,0.4634,0.4195,0.5045,,,,,,,,,,,,0.462
"Cheyenne, WY Metro Area",0.3402,0.3402,,,,,,,,,,,,,,
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",0.9749,0.114,0.2395,0.409,0.5391,0.6414,0.7199,0.7801,0.8268,0.8634,0.8925,0.916,0.9352,0.9509,0.964,0.2455
"Chico, CA Metro Area",0.1505,0.1505,,,,,,,,,,,,,,
"Cincinnati, OH-KY-IN Metro Area",0.7219,0.9155,0.7315,0.6324,0.6452,0.6844,0.7219,,,,,,,,,0.7689
"Clarksville, TN-KY Metro Area",,,,,,,,,,,,,,,,
"Cleveland, TN Metro Area",,,,,,,,,,,,,,,,
"Cleveland-Elyria, OH Metro Area",0.9547,0.6504,0.6831,0.792,0.8346,0.8263,0.8399,0.8593,0.8789,0.8964,0.9118,0.9252,0.9366,0.9463,0.9547,0.7047
"Coeur d'Alene, ID Metro Area",0.9754,0.9754,,,,,,,,,,,,,,
"College Station-Bryan, TX Metro Area",,,,,,,,,,,,,,,,
"Colorado Springs, CO Metro Area",0.399,1.583,0.399,,,,,,,,,,,,,
"Columbia, MO Metro Area",0.3191,0.3191,,,,,,,,,,,,,,
"Columbia, SC Metro Area",0.1821,0.0463,0.1821,,,,,,,,,,,,,
"Columbus, GA-AL Metro Area",,,,,,,,,,,,,,,,
"Columbus, IN Metro Area",,,,,,,,,,,,,,,,
"Columbus, OH Metro Area",0.8471,0.8752,0.8479,0.9047,0.824,0.7964,0.801,0.8148,0.8308,0.8471,,,,,,0.8756
"Corpus Christi, TX Metro Area",0.0172,0.0172,,,,,,,,,,,,,,
"Corvallis, OR Metro Area",,,,,,,,,,,,,,,,
"Crestview-Fort Walton Beach-Destin, FL Metro Area",0.3236,0.3236,,,,,,,,,,,,,,
"Cumberland, MD-WV Metro Area",,,,,,,,,,,,,,,,
"Dallas-Fort Worth-Arlington, TX Metro Area",0.8159,1.3506,1.5963,1.7111,1.4589,1.2981,1.1529,1.052,0.9914,0.9569,0.9375,0.9266,0.9026,0.881,0.8663,1.5409
"Dalton, GA Metro Area",,,,,,,,,,,,,,,,
"Danville, IL Metro Area",,,,,,,,,,,,,,,,
"Daphne-Fairhope-Foley, AL Metro Area",1.062,1.062,,,,,,,,,,,,,,
"Davenport-Moline-Rock Island, IA-IL Metro Area",0.3505,1.778,0.4844,0.3505,,,,,,,,,,,,0.9215
"Dayton-Kettering, OH Metro Area",0.205,0.0732,0.205,,,,,,,,,,,,,
