NAMELSAD,std_dev_all,std_dev_2,std_dev_3,std_dev_4,std_dev_5,std_dev_6,std_dev_7,std_dev_8,std_dev_9,std_dev_10,std_dev_11,std_dev_12,std_dev_13,std_dev_14,std_dev_15,avg_std_dev_2_to_4
"Abilene, TX Metro Area",,,,,,,,,,,,,,,,
"Akron, OH Metro Area",0.617,1.3358,0.617,,,,,,,,,,,,,
"Albany, GA Metro Area",,,,,,,,,,,,,,,,
"Albany-Lebanon, OR Metro Area",,,,,,,,,,,,,,,,
"Albany-Schenectady-Troy, NY Metro Area",0.6471,0.8324,0.593,0.6249,0.6471,,,,,,,,,,,0.6915
"Albuquerque, NM Metro Area",0.5485,0.5485,,,,,,,,,,,,,,
"Alexandria, LA Metro Area",,,,,,,,,,,,,,,,
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",,,,,,,,,,,,,,,,
"Altoona, PA Metro Area",0.1385,0.1385,,,,,,,,,,,,,,
"Amarillo, TX Metro Area",,,,,,,,,,,,,,,,
"Ames, IA Metro Area",,,,,,,,,,,,,,,,
"Ann Arbor, MI Metro Area",,,,,,,,,,,,,,,,
"Anniston-Oxford, AL Metro Area",,,,,,,,,,,,,,,,
"Appleton, WI Metro Area",,,,,,,,,,,,,,,,
"Asheville, NC Metro Area",,,,,,,,,,,,,,,,
"Athens-Clarke County, GA Metro Area",,,,,,,,,,,,,,,,
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",0.4083,0.1135,0.2339,0.4083,,,,,,,,,,,,0.2433
"Atlantic City-Hammonton, NJ Metro Area",,,,,,,,,,,,,,,,
"Auburn-Opelika, AL Metro Area",0.8103,0.8103,,,,,,,,,,,,,,
"Augusta-Richmond County, GA-SC Metro Area",,,,,,,,,,,,,,,,
"Austin-Round Rock-Georgetown, TX Metro Area",0.6279,1.3841,1.6276,0.8876,0.6934,0.6279,,,,,,,,,,1.3086
"Bakersfield, CA Metro Area",0.4341,1.663,0.4341,,,,,,,,,,,,,
"Baltimore-Columbia-Towson, MD Metro Area",0.5147,0.0741,0.1984,0.3704,0.5147,,,,,,,,,,,0.2057
"Bangor, ME Metro Area",,,,,,,,,,,,,,,,
"Barnstable Town, MA Metro Area",,,,,,,,,,,,,,,,
"Baton Rouge, LA Metro Area",1.4485,1.4485,,,,,,,,,,,,,,
"Battle Creek, MI Metro Area",0.1616,0.1616,,,,,,,,,,,,,,
"Bay City, MI Metro Area",,,,,,,,,,,,,,,,
